Task Number ;ATA;Description;THRESHOLD INTERVAL;Reference;M/H;APPLICABILITY;hangar;Base
200127-01-1;127;REAR AVIONIC COMPARTEMENT;72 MO;249200-100-006;1.06;A380;true;true
200127-01-1;128; CLEANING EWIS INSTALLED IN THE REAR AVIONIC COMPARTMENT (ONLY IF CONTAMINED) (EWIS);72 MO;20.0.127/01;0.30;A380;false;false
212100-01-1;131;AIR DISTRIBUTION AND RECIRCULATION CLEAN COCKPIT AIR SUPPLY DUCTING GRID;24000 FH OR 160 MO ;21249-100-001;0.20;A380;true;true
212100-01-1;131;AIR DISTRIBUTION AND RECIRCULATION CLEAN COCKPIT AIR SUPPLY DUCTING GRID;24000 FH OR 160 MO ;21.21.00/05;0.09;A380;false;false
212300-02-1;200;LAVATORY AND GALLEY VENTILATION DISCARD LAVATORY AIR EXTRACTION FILTER ELEMENT;1000 FH OR 12 MO;212300-600-001;0.20;A380;true;false
212300-02-1;200;LAVATORY AND GALLEY VENTILATION DISCARD LAVATORY AIR EXTRACTION FILTER ELEMENT;1000 FH OR 12 MO;21.23.00/03;0.20;A380;false;false
237300-08-1;200;CABIN INTERCOMMUNICATION  DATA SYSTEM OPERATIONAL CHECK OF BATTERY BUS POWERED PA;12000 FH OR 80 MO;237300-710-042;0.14;A380;true;false
240000-01-1;574;ELECTRICAL POWER;450 FH;249200-210-002 CN 1991-182-020(B);1.54;A380;true;true
240000-01-1;674;DETAILLED INSPECTION OF WIRE BUNDLES AT THEIR CONDUIT EXIT;450 FH;249200-210-002 CN 1991-182-020(B);1.50;A380;false;false
773200-C1-1;210;ENGINE VIBRATION INDICATING SYSTEM OPERATIONAL CHECK OF EVMU THROUGH CFDS FOR ADVISORY INDICATION  ON ECAM;6000 FH;773234-710-041;0.10;A380;true;true
792000-C3-1;435;DISTRIBUTION ;4000 FH OR 36 MO;792110-920-002;0.30;A380;true;true
792000-C3-1;445;REMOVE AND DISCARD SCAVENGE FILTER;4000 FH OR 36 MO;792110-920-002;0.30;A380;false;false
792000-I3-1;435;OIL DISTRIBUTION FILTER;6000 FH OR 40 MO;792144-920-010;0.24;A380;true;true
792000-I3-1;445;REMOVE, INSPECT AND REPLACE WITH NEW OR CLEANED PRESSURE FILTER;6000 FH OR 40 MO;79.00.00/03-I2;0.20;A380;false;false
792000-P2-1;430;ENGINE OIL DISTRIBUTION SYSTEM;3000 FH OR 20 MO;792146-920-801;1.10;A380;true;false
792000-P2-1;440;DISCARD OIL FILTER ELEMENT;3000 FH OR 20 MO;79.20.00/02-P6;1.00;A380;false;false
801110-C3-1;440;STARTER;1200 FH OR 12 MO;121380-610-001;0.38;A380;true;false
801110-C3-1;446;DRAIN AND REPLENISH OIL SYSTEM;1200 FH OR 12 MO;80.10.00/03-C5;0.30;A380;false;false
801300-I4-1;436;ENGINE STARTING SYSTEM;4500 FH OR 54 MO;801351-100-010;0.38;A380;true;true
801300-I4-1;446;CLEAN PNEUMATIC STARTER VALVE FILTER;4500 FH OR 54 MO;80.00.00/03-I2;0.30;A380;false;false
521101-01-1;831;FWD PAX/CREW DOOR STOP ASSEMBLIES;144 MO;521100-200-001;0.27;A380;true;true
521101-01-1;841;DETAILLED INSPECTION OF DOOR STOP ASSEMBLIES ON FORWARD PASSENGER/CREW DOOR, LH/RH;144 MO;521101-01-1;0.23;A380;false;false
522201-01-1;833;FORWARD EMERGENCY EXITS EXTERNAL SURFACE;4500 FH;522211-200-005;0.10;A380;false;false
522201-01-1;843;GENERAL VISUAL INSPECTION OF FORWARD EMERGENCY EXITS, EXTERNAL SURFACE, LH/RH;4500 FH;522201-01-1;0.10;A380;false;false
ZL-241-01-2;241;CENTER PASSENGER COMPARTIMENT;144 MO;052240-200-001;0.25;A380;false;true
ZL-241-01-2;242;GENERAL VISUAL INSPECTION OF CENTER PASSENGER COMPARTMENT (EWIS);144 MO;533134-01-2;0.25;A380;false;false
ZL-300-02-1;300;STABILIZERS AND CONE/REAR FUSELAGE GENERAL VISUAL INSPECTION OF STABILIZERS AND CONE/REAR FUSELAGE;20 MO OR 6000 FH;052300-200-002;0.20;A380;true;false
ZL-311-01-1;311;AFT FUSELAGE TAIL SECTION ;20 MO;052310-200-001;0.15;A380;false;true
ZL-311-01-1;312;GENERAL VISUAL INSPECTION OF AFT FUSELAGE TAIL SECTION (EWIS);20 MO;27.21.00/08;0.10;A380;false;true
212641-01-1;128;AVIONICS EQUIPEMENT VENTILATION DETAILLED INSPECTION OF CHECK VALVES FLAPPERS FOR CONDITION AND OPERATION ;72 MO;212641-210-001;0.13;A380;true;false
212643-07-1;120;AVIONICS VENTILATION DUST SEPARATOR DISCARD FILTER CARTRIDGE;1600 FH OR 12 MO;212643-920-001;0.16;A380;true;true
212643-10-1;120;AVIONICS VENT. WATER/MOISTURE SEP. INSPECTION OF SIPHON ASSEMBLY (STRAINER) FOR CLEANLINESS NOTE : THIS TASK IS CANCELLED AFTER REPLACEMENT OF PAL;3000 FH OR 24 MO;212643-100-001;0.16;A380;true;true
212700-01-1;210;AVIONICS EQUIPEMENT GROUND COOLING OPERATIONAL CHECK OF FAULT WARNING;12000 FH OR 80 MO;212700-710-001;0.10;A380;true;true
